County_Name,pct_rural
Itawamba,86
Jackson,27
Jasper,100
Jefferson,100
Jefferson Davis,100
Jones,61
Kemper,100
Lafayette,45
Lamar,50
Lauderdale,48
Lawrence,100
Leake,81
Lee,45
Leflore,17
Lincoln,69
Lowndes,42
Madison,27
Marion,73
Marshall,83
Monroe,69
Montgomery,59
Neshoba,73
Newton,87
Noxubee,74
Oktibbeha,36
Panola,78
Pearl River,69
Perry,100
Pike,59
Pontotoc,83
Prentiss,76
Quitman,56
Rankin,33
Scott,72
Sharkey,100
Simpson,84
Smith,100
Stone,78
Sunflower,45
Tallahatchie,80
Tate,77
Tippah,83
Tishomingo,100
Tunica,66
Union,75
Walthall,100
Warren,40
Washington,17
Wayne,79
Webster,100
Wilkinson,100
Winston,75
Yalobusha,79
Yazoo,44
Adair,37
Andrew,61
Atchison,100
Audrain,41
Barry,73
Barton,63
Bates,77
Benton,86
Bollinger,100
Boone,18
Buchanan,13
Butler,52
Caldwell,100
Callaway,62
Camden,74
Cape Girardeau,30
Carroll,64
Carter,100
Cass,32
Cedar,75
Chariton,100
Christian,44
Clark,100
Clay,9
Clinton,76
Cole,29
Cooper,53
Crawford,73
Dade,100
Dallas,81
Daviess,100
DeKalb,62
Dent,68
Douglas,79
Dunklin,50
Franklin,55
Gasconade,80
Gentry,100
Greene,13
Grundy,45
Harrison,70
Henry,49
Hickory,100
Holt,100
Howard,64
Howell,72
Iron,74
Jackson,3
Jasper,23
Jefferson,30
Johnson,50
Knox,100
Laclede,60
Lafayette,56
Lawrence,58
Lewis,100
Lincoln,74
Linn,66
Livingston,36
McDonald,99
Macon,67
Madison,65
Maries,100
Marion,24
Mercer,100
Miller,79
Mississippi,32
Moniteau,52
Monroe,100
Montgomery,78
Morgan,100
New Madrid,56
Newton,64
Nodaway,43
Oregon,80
Osage,100
Ozark,100
Pemiscot,49
Perry,55
Pettis,37
Phelps,46
Pike,54
Platte,15
Polk,68
Pulaski,44
Putnam,100
Ralls,96
Randolph,45
Ray,75
Reynolds,100
Ripley,100
St. Charles,5
St. Clair,100
Ste. Genevieve,76
St. Francois,39
St. Louis,1
Saline,45
Schuyler,100
Scotland,100
Scott,41
Shannon,100
Shelby,100
Stoddard,69
Stone,88
Sullivan,100
Taney,43
Texas,99
Vernon,58
Warren,63
Washington,80
Wayne,100
Webster,73
Worth,100
Wright,76
St. Louis City,0
Beaverhead,50
Big Horn,71
Blaine,100
Broadwater,100
Carbon,100
Carter,100
Cascade,19
Chouteau,100
Custer,17
Daniels,100
Dawson,27
Deer Lodge,33
Fallon,100
Fergus,47
Flathead,51
Gallatin,33
Garfield,100
Glacier,44
Golden Valley,100
Granite,100
Hill,40
Jefferson,100
Judith Basin,100
Lake,83
Lewis and Clark,28
Liberty,100
Lincoln,79
McCone,100
Madison,100
Meagher,100
Mineral,100
Missoula,22
Musselshell,100
Park,47
Petroleum,100
Phillips,100
Pondera,58
Powder River,100
Powell,54
Prairie,100
Ravalli,84
Richland,44
Roosevelt,39
Rosebud,100
Sanders,100
Sheridan,100
Silver Bow,11
Stillwater,100
Sweet Grass,100
Teton,100
Toole,42
Treasure,100
Valley,55
Wheatland,100
Wibaux,100
Yellowstone,16
Adams,22
Antelope,100
Arthur,100
Banner,100
Blaine,100
Boone,100
Box Butte,24
Boyd,100
Brown,100
Buffalo,32
Burt,100
Butler,65
Cass,72
Cedar,100
Chase,100
Cherry,52
Cheyenne,36
Clay,100
Colfax,40
Cuming,65
Custer,67
Dakota,21
Dawes,39
Dawson,26
Deuel,100
Dixon,100
Dodge,25
Douglas,2
Dundy,100
Fillmore,100
Franklin,100
Frontier,100
Furnas,100
Gage,44
Garden,100
Garfield,100
Gosper,100
Grant,100
Greeley,100
Hall,14
Hamilton,51
Harlan,100
Hayes,100
Hitchcock,100
Holt,64
Hooker,100
Howard,100
Jefferson,48
Johnson,100
Kearney,54
Keith,47
Keya Paha,100
Kimball,100
Knox,100
Lancaster,8
Lincoln,30
Logan,100
Loup,100
McPherson,100
Madison,27
Merrick,58
Morrill,100
Nance,100
Nemaha,52
Nuckolls,100
Otoe,55
Pawnee,100
Perkins,100
Phelps,41
Pierce,100
Platte,31
Polk,100
Red Willow,31
Richardson,50
Rock,100
Saline,51
Sarpy,5
Saunders,66
Scotts Bluff,29
Seward,60
Sheridan,100
Sherman,100
Sioux,100
Stanton,73
Thayer,100
Thomas,100
Thurston,100
Valley,100
Washington,61
Wayne,42
Webster,100
Wheeler,100
York,44
Churchill,34
Clark,1
Douglas,31
Elko,37
Esmeralda,100
Eureka,100
Humboldt,37
Lander,39
Lincoln,100
Lyon,36
Mineral,31
Nye,35
Pershing,100
Storey,92
Washoe,4
White Pine,53
Carson City,4
Belknap,66
Carroll,90
Cheshire,65
Coos,66
Grafton,68
Hillsborough,21
Merrimack,54
Rockingham,24
Strafford,32
Sullivan,64
Atlantic,12
Bergen,0
Burlington,6
Camden,1
Cape May,17
Cumberland,23
Essex,0
Gloucester,8
Hudson,0
Hunterdon,49
Mercer,3
Middlesex,0
Monmouth,3
