County_Name,mental_health_provider
Smith,0
Stafford,2089
Stanton,0
Stevens,1853
Sumner,1150
Thomas,643
Trego,1397
Wabaunsee,1725
Wallace,1503
Washington,0
Wichita,0
Wilson,4333
Woodson,0
Wyandotte,653
Adair,480
Allen,1760
Anderson,1511
Ballard,7979
Barren,659
Bath,344
Bell,5314
Boone,933
Bourbon,807
Boyd,140
Boyle,430
Bracken,4120
Breathitt,530
Breckinridge,971
Bullitt,1126
Butler,1419
Caldwell,2119
Calloway,1398
Campbell,647
Carlisle,0
Carroll,1790
Carter,563
Casey,1222
Christian,225
Clark,1394
Clay,2513
Clinton,537
Crittenden,0
Cumberland,444
Daviess,359
Edmonson,2455
Elliott,536
Estill,1775
Fayette,264
Fleming,2405
Floyd,47
Franklin,770
Fulton,0
Gallatin,981
Garrard,4390
Grant,1256
Graves,1204
Grayson,975
Green,789
Greenup,630
Hancock,1460
Hardin,263
Harlan,3301
Harrison,2086
Hart,1350
Henderson,800
Henry,2301
Hickman,0
Hopkins,1156
Jackson,3361
Jefferson,329
Jessamine,946
Johnson,622
Kenton,604
Knott,2521
Knox,1565
Larue,4769
Laurel,1838
Lawrence,399
Lee,703
Leslie,2536
Letcher,1153
Lewis,3314
Lincoln,1120
Livingston,4621
Logan,1799
Lyon,4005
McCracken,499
McCreary,967
McLean,3084
Madison,770
Magoffin,687
Marion,524
Marshall,3899
Martin,2265
Mason,245
Meade,1248
Menifee,307
Mercer,778
Metcalfe,1003
Monroe,1340
Montgomery,266
Morgan,477
Muhlenberg,1399
Nelson,705
Nicholas,3583
Ohio,2676
Oldham,1090
Owen,2176
Owsley,1118
Pendleton,1614
Perry,124
Pike,957
Powell,1382
Pulaski,311
Robertson,0
Rockcastle,3350
Rowan,189
Russell,849
Scott,1273
Shelby,703
Simpson,1235
Spencer,3759
Taylor,482
Todd,4104
Trigg,7322
Trimble,4258
Union,2901
Warren,392
Washington,863
Wayne,1077
Webster,2622
Whitley,68
Wolfe,598
Woodford,1021
Acadia,1382
Allen,985
Ascension,982
Assumption,3717
Avoyelles,586
Beauregard,1380
Bienville,283
Bossier,445
Caddo,148
Calcasieu,390
Caldwell,766
Cameron,0
Catahoula,4804
Claiborne,1139
Concordia,188
De Soto,403
East Baton Rouge,250
East Carroll,201
East Feliciana,280
Evangeline,1520
Franklin,695
Grant,1499
Iberia,663
Iberville,376
Jackson,994
Jefferson,387
Jefferson Davis,518
Lafayette,282
Lafourche,625
La Salle,1243
Lincoln,250
Livingston,918
Madison,159
Morehouse,282
Natchitoches,245
Orleans,185
Ouachita,203
Plaquemines,807
Pointe Coupee,914
Rapides,202
Red River,1211
Richland,215
Sabine,751
St. Bernard,261
St. Charles,734
St. Helena,1140
St. James,1753
St. John the Baptist,345
St. Landry,465
St. Martin,2553
St. Mary,803
St. Tammany,420
Tangipahoa,471
Tensas,892
Terrebonne,453
Union,1015
Vermilion,2493
Vernon,611
Washington,656
Webster,422
West Baton Rouge,2202
West Carroll,1830
West Feliciana,814
Winn,3534
Androscoggin,205
Aroostook,183
Cumberland,143
Franklin,344
Hancock,256
Kennebec,205
Knox,194
Lincoln,484
Oxford,389
Penobscot,186
Piscataquis,480
Sagadahoc,482
Somerset,582
Waldo,397
Washington,178
York,251
Allegany,330
Anne Arundel,528
Baltimore,327
Calvert,544
Caroline,2220
Carroll,465
Cecil,490
Charles,641
Dorchester,416
Frederick,452
Garrett,648
Harford,539
Howard,342
Kent,554
Montgomery,320
Prince George's,685
Queen Anne's,985
St. Mary's,873
Somerset,367
Talbot,217
Washington,408
Wicomico,311
Worcester,443
Baltimore City,218
Barnstable,192
Berkshire,115
Bristol,204
Dukes,145
Essex,173
Franklin,123
