County_Name,personal_income_per_capita
McLeod,49136
Mahnomen,36950
Marshall,51509
Martin,50083
Meeker,43944
Mille Lacs,41582
Morrison,42568
Mower,48423
Murray,54825
Nicollet,49605
Nobles,45100
Norman,44254
Olmsted,58554
Otter Tail,48275
Pennington,55399
Pine,37067
Pipestone,58004
Polk,48820
Pope,52091
Ramsey,54934
Red Lake,51750
Redwood,49732
Renville,51432
Rice,44096
Rock,51956
Roseau,51307
St. Louis,47417
Scott,59687
Sherburne,47031
Sibley,46632
Stearns,47196
Steele,47604
Stevens,49913
Swift,51320
Todd,42005
Traverse,61255
Wabasha,48724
Wadena,39746
Waseca,44556
Washington,67928
Watonwan,42979
Wilkin,59516
Winona,50036
Wright,50181
Yellow Medicine,57186
Adams,33880
Alcorn,36003
Amite,33460
Attala,33809
Benton,30285
Bolivar,38213
Calhoun,33043
Carroll,37615
Chickasaw,34805
Choctaw,33646
Claiborne,31494
Clarke,36431
Clay,39191
Coahoma,33915
Copiah,33203
Covington,35748
DeSoto,40702
Forrest,38880
Franklin,33970
George,32529
Greene,28716
Grenada,35632
Hancock,35262
Harrison,37303
Hinds,39311
Holmes,28371
Humphreys,31864
Issaquena,18541
Itawamba,34734
Jackson,37499
Jasper,37281
Jefferson,33098
Jefferson Davis,30097
Jones,38122
Kemper,29287
Lafayette,42110
Lamar,40529
Lauderdale,37959
Lawrence,34616
Leake,31436
Lee,41934
Leflore,36399
Lincoln,38682
Lowndes,38498
Madison,64033
Marion,34526
Marshall,32341
Monroe,34664
Montgomery,34180
Neshoba,36604
Newton,34645
Noxubee,32805
Oktibbeha,34367
Panola,32496
Pearl River,36230
Perry,31934
Pike,31048
Pontotoc,32996
Prentiss,30743
Quitman,27088
Rankin,44661
Scott,32095
Sharkey,32070
Simpson,37036
Smith,35791
Stone,31516
Sunflower,30859
Tallahatchie,27757
Tate,35182
Tippah,33919
Tishomingo,33559
Tunica,32425
Union,32242
Walthall,31757
Warren,39580
Washington,37568
Wayne,34775
Webster,38464
Wilkinson,29413
Winston,35742
Yalobusha,36729
Yazoo,27275
Adair,33578
Andrew,45118
Atchison,42633
Audrain,40111
Barry,34540
Barton,35884
Bates,38864
Benton,35973
Bollinger,32454
Boone,47687
Buchanan,39810
Butler,35302
Caldwell,37301
Callaway,38686
Camden,38794
Cape Girardeau,46314
Carroll,45110
Carter,32045
Cass,47151
Cedar,31664
Chariton,42227
Christian,40301
Clark,34516
Clay,48381
Clinton,42988
Cole,47790
Cooper,38916
Crawford,36090
Dade,34181
Dallas,33184
Daviess,34491
DeKalb,28294
Dent,33231
Douglas,28305
Dunklin,34129
Franklin,45719
