County_Name,income_ratio
Crittenden,4
Cumberland,5
Daviess,4
Edmonson,4
Elliott,5
Estill,5
Fayette,5
Fleming,4
Floyd,5
Franklin,3
Fulton,5
Gallatin,4
Garrard,4
Grant,4
Graves,5
Grayson,4
Green,4
Greenup,4
Hancock,3
Hardin,4
Harlan,5
Harrison,5
Hart,4
Henderson,4
Henry,4
Hickman,5
Hopkins,4
Jackson,4
Jefferson,4
Jessamine,4
Johnson,6
Kenton,4
Knott,5
Knox,6
Larue,3
Laurel,5
Lawrence,5
Lee,6
Leslie,6
Letcher,6
Lewis,6
Lincoln,4
Livingston,4
Logan,4
Lyon,4
McCracken,5
McCreary,5
McLean,5
Madison,5
Magoffin,5
Marion,4
Marshall,4
Martin,5
Mason,5
Meade,3
Menifee,5
Mercer,5
Metcalfe,4
Monroe,5
Montgomery,4
Morgan,5
Muhlenberg,4
Nelson,4
Nicholas,4
Ohio,4
Oldham,3
Owen,4
Owsley,8
Pendleton,5
Perry,5
Pike,5
Powell,5
Pulaski,5
Robertson,5
Rockcastle,5
Rowan,5
Russell,4
Scott,3
Shelby,4
Simpson,3
Spencer,3
Taylor,4
Todd,5
Trigg,3
Trimble,5
Union,4
Warren,4
Washington,4
Wayne,4
Webster,4
Whitley,5
Wolfe,5
Woodford,4
Acadia,5
Allen,5
Ascension,4
Assumption,5
Avoyelles,6
Beauregard,5
Bienville,6
Bossier,4
Caddo,5
Calcasieu,5
Caldwell,6
Cameron,4
Catahoula,7
Claiborne,5
Concordia,5
De Soto,6
East Baton Rouge,5
East Carroll,6
East Feliciana,5
Evangeline,5
Franklin,5
Grant,4
Iberia,4
Iberville,5
Jackson,6
Jefferson,4
Jefferson Davis,6
Lafayette,5
Lafourche,5
La Salle,5
Lincoln,6
Livingston,4
Madison,5
Morehouse,5
Natchitoches,6
Orleans,7
Ouachita,6
Plaquemines,5
Pointe Coupee,6
Rapides,5
Red River,6
Richland,5
Sabine,5
St. Bernard,4
St. Charles,4
St. Helena,6
St. James,6
St. John the Baptist,5
St. Landry,6
St. Martin,5
St. Mary,4
St. Tammany,4
Tangipahoa,5
Tensas,5
Terrebonne,5
Union,6
Vermilion,4
Vernon,4
Washington,5
Webster,4
West Baton Rouge,5
West Carroll,5
West Feliciana,6
Winn,5
Androscoggin,4
Aroostook,5
Cumberland,4
Franklin,4
Hancock,4
Kennebec,4
Knox,4
Lincoln,4
Oxford,4
Penobscot,4
Piscataquis,4
Sagadahoc,3
Somerset,4
Waldo,4
Washington,4
York,3
Allegany,4
Anne Arundel,3
Baltimore,4
Calvert,3
Caroline,4
Carroll,3
Cecil,4
Charles,3
Dorchester,4
Frederick,3
Garrett,4
Harford,4
Howard,3
Kent,4
Montgomery,4
Prince George's,3
Queen Anne's,3
St. Mary's,3
Somerset,4
Talbot,4
Washington,4
Wicomico,4
Worcester,4
Baltimore City,6
Barnstable,4
Berkshire,4
Bristol,5
Dukes,4
Essex,5
Franklin,4
Hampden,5
Hampshire,4
