County_Name,Natural_increase_in_population
Audrain,37
Barry,7
Barton,19
Bates,10
Benton,-131
Bollinger,-11
Boone,859
Buchanan,175
Butler,-68
Caldwell,-9
Callaway,34
Camden,-154
Cape Girardeau,161
Carroll,-30
Carter,-17
Cass,135
Cedar,-21
Chariton,-16
Christian,361
Clark,5
Clay,1248
Clinton,-19
Cole,179
Cooper,18
Crawford,-46
Dade,-43
Dallas,6
Daviess,37
DeKalb,-16
Dent,-10
Douglas,-25
Dunklin,-90
Franklin,139
Gasconade,-45
Gentry,-7
Greene,496
Grundy,33
Harrison,-28
Henry,-54
Hickory,-50
Holt,-14
Howard,20
Howell,-4
Iron,-54
Jackson,2499
Jasper,351
Jefferson,314
Johnson,308
Knox,1
Laclede,78
Lafayette,-15
Lawrence,41
Lewis,22
Lincoln,323
Linn,-39
Livingston,-12
McDonald,144
Macon,-11
Madison,-42
Maries,-15
Marion,36
Mercer,6
Miller,25
Mississippi,-49
Moniteau,40
Monroe,-5
Montgomery,-13
Morgan,-18
New Madrid,-38
Newton,73
Nodaway,9
Oregon,-35
Osage,11
Ozark,-51
Pemiscot,-12
Perry,0
Pettis,153
Phelps,40
Pike,17
Platte,498
Polk,11
Pulaski,379
Putnam,0
Ralls,25
Randolph,53
Ray,-17
Reynolds,-27
Ripley,-67
St. Charles,1301
St. Clair,-42
Ste. Genevieve,5
St. Francois,-81
St. Louis,825
Saline,-1
Schuyler,27
Scotland,33
Scott,28
Shannon,11
Shelby,25
Stoddard,-60
Stone,-150
Sullivan,15
Taney,60
Texas,-22
Vernon,15
Warren,103
Washington,3
Wayne,-77
Webster,194
Worth,5
Wright,0
St. Louis City,859
Beaverhead,-22
Big Horn,112
Blaine,18
Broadwater,9
Carbon,-13
Carter,4
Cascade,269
Chouteau,-20
Custer,-22
Daniels,3
Dawson,-10
Deer Lodge,-51
Fallon,11
Fergus,-26
Flathead,196
Gallatin,650
Garfield,2
Glacier,96
Golden Valley,7
Granite,-18
Hill,128
Jefferson,-33
Judith Basin,-2
Lake,-14
Lewis and Clark,89
Liberty,-4
Lincoln,-124
McCone,1
Madison,-25
Meagher,-5
Mineral,-19
Missoula,244
Musselshell,-29
Park,-12
Petroleum,-6
Phillips,-5
Pondera,21
Powder River,4
Powell,-27
Prairie,5
Ravalli,-114
Richland,44
Roosevelt,35
Rosebud,39
Sanders,-16
Sheridan,-8
Silver Bow,-55
Stillwater,-5
Sweet Grass,1
Teton,16
Toole,19
Treasure,6
Valley,27
Wheatland,5
Wibaux,0
Yellowstone,372
Adams,75
Antelope,21
Arthur,0
Banner,6
Blaine,2
Boone,-6
Box Butte,27
Boyd,-5
Brown,-5
Buffalo,263
Burt,-34
Butler,2
Cass,35
Cedar,10
Chase,-8
Cherry,20
Cheyenne,2
Clay,11
Colfax,121
Cuming,22
Custer,-3
Dakota,232
Dawes,-4
Dawson,208
Deuel,-2
Dixon,21
Dodge,54
Douglas,4240
Dundy,-8
Fillmore,-1
Franklin,8
Frontier,9
Furnas,1
Gage,-27
Garden,1
Garfield,-11
