County_Name,pct_unemployed
Plymouth,3
Suffolk,3
Worcester,3
Alcona,6
Alger,7
Allegan,3
Alpena,5
Antrim,5
Arenac,7
Baraga,6
Barry,3
Bay,4
Benzie,5
Berrien,4
Branch,3
Calhoun,4
Cass,4
Charlevoix,4
Cheboygan,9
Chippewa,6
Clare,6
Clinton,3
Crawford,6
Delta,5
Dickinson,3
Eaton,3
Emmet,5
Genesee,4
Gladwin,5
Gogebic,5
Grand Traverse,3
Gratiot,4
Hillsdale,4
Houghton,5
Huron,4
Ingham,3
Ionia,3
Iosco,6
Iron,5
Isabella,3
Jackson,3
Kalamazoo,3
Kalkaska,5
Kent,2
Keweenaw,6
Lake,6
Lapeer,5
Leelanau,4
Lenawee,4
Livingston,3
Luce,6
Mackinac,9
Macomb,4
Manistee,5
Marquette,4
Mason,4
Mecosta,4
Menominee,4
Midland,3
Missaukee,5
Monroe,4
Montcalm,4
Montmorency,8
Muskegon,4
Newaygo,4
Oakland,3
Oceana,6
Ogemaw,7
Ontonagon,7
Osceola,4
Oscoda,6
Otsego,5
Ottawa,2
Presque Isle,7
Roscommon,7
Saginaw,4
St. Clair,4
St. Joseph,3
Sanilac,5
Schoolcraft,7
Shiawassee,4
Tuscola,5
Van Buren,4
Washtenaw,3
Wayne,5
Wexford,4
Aitkin,5
Anoka,2
Becker,3
Beltrami,4
Benton,3
Big Stone,3
Blue Earth,2
Brown,3
Carlton,4
Carver,2
Cass,5
Chippewa,3
Chisago,3
Clay,2
Clearwater,8
Cook,3
Cottonwood,3
Crow Wing,3
Dakota,2
Dodge,2
Douglas,2
Faribault,3
Fillmore,3
Freeborn,3
Goodhue,2
Grant,3
Hennepin,2
Houston,2
Hubbard,4
Isanti,3
Itasca,5
Jackson,2
Kanabec,5
Kandiyohi,2
Kittson,2
Koochiching,6
Lac qui Parle,3
Lake,3
Lake of the Woods,3
Le Sueur,4
Lincoln,2
Lyon,2
McLeod,3
Mahnomen,4
Marshall,5
Martin,3
Meeker,3
Mille Lacs,4
Morrison,4
Mower,2
Murray,3
Nicollet,2
Nobles,2
Norman,4
Olmsted,2
Otter Tail,3
Pennington,4
Pine,4
Pipestone,2
Polk,3
Pope,2
Ramsey,2
Red Lake,5
Redwood,3
Renville,3
Rice,2
Rock,2
Roseau,3
St. Louis,3
Scott,2
Sherburne,3
Sibley,3
Stearns,2
Steele,2
Stevens,2
Swift,3
Todd,3
Traverse,3
Wabasha,2
Wadena,5
Waseca,4
Washington,2
Watonwan,3
Wilkin,3
Winona,2
Wright,2
Yellow Medicine,2
Adams,6
Alcorn,4
Amite,6
Attala,5
Benton,5
Bolivar,6
Calhoun,4
Carroll,5
Chickasaw,4
Choctaw,4
Claiborne,9
Clarke,5
Clay,6
Coahoma,6
Copiah,5
Covington,4
DeSoto,3
Forrest,4
Franklin,6
George,6
Greene,6
Grenada,4
Hancock,4
Harrison,4
Hinds,4
Holmes,8
Humphreys,8
Issaquena,8
Itawamba,4
Jackson,5
Jasper,5
Jefferson,13
Jefferson Davis,6
Jones,4
Kemper,7
Lafayette,3
Lamar,3
Lauderdale,5
Lawrence,5
Leake,4
Lee,3
Leflore,6
Lincoln,4
Lowndes,4
Madison,3
Marion,5
Marshall,5
Monroe,4
Montgomery,5
Neshoba,4
Newton,4
Noxubee,6
Oktibbeha,4
Panola,5
Pearl River,4
Perry,5
Pike,5
Pontotoc,3
Prentiss,4
Quitman,7
Rankin,3
