County_Name,daily_pm25
Craven,9
Cumberland,10
Currituck,8
Dare,8
Davidson,10
Davie,10
Duplin,9
Durham,10
Edgecombe,10
Forsyth,9
Franklin,10
Gaston,10
Gates,8
Graham,8
Granville,10
Greene,10
Guilford,10
Halifax,9
Harnett,10
Haywood,8
Henderson,9
Hertford,9
Hoke,10
Hyde,7
Iredell,10
Jackson,8
Johnston,10
Jones,9
Lee,10
Lenoir,10
Lincoln,10
McDowell,9
Macon,8
Madison,8
Martin,8
Mecklenburg,11
Mitchell,8
Montgomery,9
Moore,10
Nash,10
New Hanover,8
Northampton,9
Onslow,9
